-2	( - ( -8 -6 ) )
-9	( - ( -5 4 ) )
2	( - ( 3 1 ) )
8	( + ( -2 10 ) )
-6	( + ( -4 -2 ) )
-3	( - ( 6 9 ) )
-15	( - ( -6 9 ) )
16	( + ( 9 7 ) )
-13	( - ( -10 3 ) )
-2	( + ( 7 -9 ) )
-6	( + ( -4 -2 ) )
3	( - ( 10 7 ) )
4	( - ( 7 ( + ( 3 0 ) ) ) )
-9	( + ( -8 ( + ( -4 3 ) ) ) )
-18	( - ( -8 10 ) )
-6	( - ( -2 4 ) )
12	( + ( 4 8 ) )
17	( + ( 7 10 ) )
-3	( - ( 4 7 ) )
14	( - ( 10 -4 ) )
-7	( + ( -9 2 ) )
16	( + ( 8 8 ) )
-9	( + ( -10 1 ) )
17	( - ( ( + ( 4 6 ) ) -7 ) )
12	( + ( 10 2 ) )
4	( + ( -10 ( - ( 9 -5 ) ) ) )
3	( + ( ( - ( -7 -3 ) ) 7 ) )
17	( - ( 7 -10 ) )
10	( + ( 1 9 ) )
-4	( + ( ( - ( 0 2 ) ) -2 ) )
17	( - ( 7 -10 ) )
-8	( + ( -9 1 ) )
-4	( - ( -6 -2 ) )
17	( - ( 10 -7 ) )
2	( + ( 0 2 ) )
5	( + ( -3 8 ) )
6	( + ( 5 1 ) )
-9	( - ( -4 5 ) )
0	( - ( 9 9 ) )
9	( + ( 8 1 ) )
18	( - ( 10 -8 ) )
17	( + ( 9 8 ) )
-2	( - ( -7 -5 ) )
4	( + ( 3 1 ) )
1	( + ( -6 7 ) )
9	( + ( 10 -1 ) )
2	( + ( 7 -5 ) )
10	( + ( ( + ( 5 -3 ) ) 8 ) )
16	( - ( 10 -6 ) )
1	( + ( -1 2 ) )
-8	( - ( -3 5 ) )
4	( - ( 4 0 ) )
12	( - ( 5 -7 ) )
-2	( - ( 2 ( + ( 0 4 ) ) ) )
-2	( - ( -3 -1 ) )
-1	( - ( 4 ( - ( 9 4 ) ) ) )
9	( + ( 0 9 ) )
4	( + ( 3 ( - ( -6 -7 ) ) ) )
0	( - ( -9 -9 ) )
-14	( + ( -4 -10 ) )
-4	( + ( 2 -6 ) )
3	( - ( 3 0 ) )
3	( + ( -7 10 ) )
-14	( + ( -6 -8 ) )
-4	( - ( -4 0 ) )
0	( - ( -3 -3 ) )
23	( + ( 7 ( - ( 9 -7 ) ) ) )
-19	( + ( -10 -9 ) )
-2	( + ( 5 -7 ) )
-11	( + ( -7 -4 ) )
-6	( - ( -8 -2 ) )
-3	( + ( 5 -8 ) )
-18	( + ( -9 -9 ) )
-3	( - ( 3 6 ) )
10	( - ( ( - ( 6 -8 ) ) 4 ) )
13	( - ( 10 -3 ) )
-4	( - ( -3 1 ) )
-14	( + ( -6 -8 ) )
0	( - ( -3 -3 ) )
-7	( + ( -9 2 ) )
8	( + ( 8 0 ) )
9	( + ( 8 1 ) )
-12	( - ( -5 7 ) )
10	( + ( 6 4 ) )
11	( - ( ( - ( -2 -4 ) ) -9 ) )
11	( + ( -1 ( + ( 5 7 ) ) ) )
4	( + ( 8 -4 ) )
6	( - ( 9 3 ) )
3	( + ( 5 -2 ) )
-14	( - ( -5 9 ) )
-2	( + ( ( - ( 0 1 ) ) -1 ) )
12	( + ( 8 4 ) )
-4	( + ( -4 0 ) )
-2	( + ( 8 -10 ) )
-11	( - ( -3 8 ) )
-1	( + ( -3 2 ) )
-1	( - ( -9 -8 ) )
2	( + ( -8 10 ) )
-5	( + ( 0 -5 ) )
-4	( - ( ( + ( -3 8 ) ) 9 ) )
-3	( - ( ( + ( -2 -5 ) ) -4 ) )
1	( + ( -4 5 ) )
-14	( - ( ( + ( -9 -9 ) ) -4 ) )
-2	( + ( 1 -3 ) )
-4	( - ( -3 1 ) )
-15	( - ( -8 7 ) )
-6	( - ( -5 1 ) )
1	( + ( -3 4 ) )
-14	( - ( -5 9 ) )
-4	( + ( -5 ( - ( 3 2 ) ) ) )
10	( - ( 3 -7 ) )
-8	( + ( -4 ( + ( -9 5 ) ) ) )
0	( - ( -2 -2 ) )
-2	( + ( 2 -4 ) )
-3	( + ( 0 -3 ) )
4	( + ( 8 -4 ) )
17	( + ( 9 8 ) )
1	( + ( 0 1 ) )
-6	( + ( -6 0 ) )
-1	( - ( -10 -9 ) )
11	( + ( 10 1 ) )
2	( + ( 0 2 ) )
3	( + ( 0 3 ) )
12	( + ( 6 6 ) )
7	( + ( 10 -3 ) )
-1	( + ( 0 -1 ) )
-9	( - ( -4 5 ) )
12	( + ( 6 6 ) )
-2	( + ( -9 7 ) )
-8	( + ( 1 -9 ) )
12	( - ( 8 -4 ) )
2	( + ( 0 2 ) )
2	( + ( 7 -5 ) )
-2	( + ( -10 8 ) )
4	( + ( -4 8 ) )
-9	( - ( -9 0 ) )
-6	( + ( -3 -3 ) )
-1	( - ( 0 1 ) )
17	( - ( 10 -7 ) )
2	( + ( -8 ( + ( 9 1 ) ) ) )
-15	( - ( -6 9 ) )
7	( + ( 8 -1 ) )
-4	( + ( -9 5 ) )
-9	( + ( -8 -1 ) )
13	( + ( 3 10 ) )
3	( - ( -6 -9 ) )
2	( - ( 1 -1 ) )
6	( + ( -3 9 ) )
-6	( + ( -4 -2 ) )
-16	( - ( -6 10 ) )
4	( + ( -4 8 ) )
8	( - ( 2 -6 ) )
13	( - ( 6 -7 ) )
2	( - ( -5 -7 ) )
-13	( + ( -9 -4 ) )
-15	( + ( -6 -9 ) )
2	( + ( 8 -6 ) )
2	( - ( -5 -7 ) )
-9	( + ( -3 -6 ) )
3	( - ( 5 2 ) )
16	( + ( 7 9 ) )
6	( + ( 2 4 ) )
10	( + ( 4 6 ) )
14	( + ( 7 7 ) )
3	( - ( -4 -7 ) )
12	( - ( 6 -6 ) )
-15	( + ( -7 -8 ) )
14	( + ( 5 9 ) )
-5	( + ( -9 4 ) )
-11	( + ( -7 -4 ) )
-2	( - ( -7 -5 ) )
7	( + ( 9 -2 ) )
-4	( + ( 5 -9 ) )
6	( + ( -2 8 ) )
12	( - ( 3 -9 ) )
-3	( - ( -2 1 ) )
9	( - ( -1 -10 ) )
-2	( + ( -8 6 ) )
-1	( - ( -7 -6 ) )
17	( - ( 7 -10 ) )
10	( - ( 9 -1 ) )
-5	( + ( 3 -8 ) )
19	( + ( 10 9 ) )
14	( + ( 5 9 ) )
-8	( + ( -10 2 ) )
-5	( - ( -8 -3 ) )
4	( - ( 5 1 ) )
-7	( - ( ( - ( -10 3 ) ) -6 ) )
-17	( + ( -10 -7 ) )
9	( - ( -1 ( - ( -7 3 ) ) ) )
-9	( + ( -8 -1 ) )
4	( - ( 8 4 ) )
2	( - ( -7 -9 ) )
1	( + ( -3 4 ) )
-10	( - ( -8 2 ) )
-5	( + ( -9 4 ) )
8	( + ( -1 9 ) )
-2	( + ( 4 -6 ) )
-17	( - ( -10 7 ) )
-1	( + ( -3 2 ) )
5	( - ( 8 3 ) )
12	( + ( 10 2 ) )
-2	( + ( -10 8 ) )
6	( + ( -3 9 ) )
-4	( + ( 5 -9 ) )
0	( + ( -4 4 ) )
-4	( + ( 3 -7 ) )
5	( + ( -2 7 ) )
4	( - ( 8 4 ) )
-5	( + ( ( - ( -2 -2 ) ) -5 ) )
-16	( + ( -10 -6 ) )
